Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;"University of Hagen (distance learning; open university)";https://en.wikipedia.org/wiki/University_of_Hagen
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Halle-Wittenberg (also in Wittenberg);https://en.wikipedia.org/wiki/University_of_Halle-Wittenberg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Hamburg;https://en.wikipedia.org/wiki/University_of_Hamburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;HafenCity University Hamburg;https://en.wikipedia.org/wiki/HafenCity_University_Hamburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Hamburg University of Technology;https://en.wikipedia.org/wiki/Hamburg_University_of_Technology
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Helmut Schmidt University (University of the Bundeswehr, Hamburg);https://en.wikipedia.org/wiki/Helmut_Schmidt_University
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Hertie School of Governance (private institution with university status, awards PhD);https://en.wikipedia.org/wiki/Hertie_School_of_Governance
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Leibniz University Hannover;https://en.wikipedia.org/wiki/Leibniz_University_Hannover
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Heidelberg;https://en.wikipedia.org/wiki/University_of_Heidelberg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Hildesheim;https://en.wikipedia.org/wiki/University_of_Hildesheim
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Hohenheim;https://en.wikipedia.org/wiki/University_of_Hohenheim
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Technical University of Ilmenau;https://en.wikipedia.org/wiki/Technical_University_of_Ilmenau
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Jacobs University Bremen;https://en.wikipedia.org/wiki/Jacobs_University_Bremen
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Jena;https://en.wikipedia.org/wiki/University_of_Jena
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Kaiserslautern University of Technology;https://en.wikipedia.org/wiki/Kaiserslautern_University_of_Technology
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Karlsruhe Institute of Technology;https://en.wikipedia.org/wiki/Karlsruhe_Institute_of_Technology
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Kassel;https://en.wikipedia.org/wiki/University_of_Kassel
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Kiel;https://en.wikipedia.org/wiki/University_of_Kiel
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Koblenz-Landau;https://en.wikipedia.org/wiki/University_of_Koblenz-Landau
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Konstanz;https://en.wikipedia.org/wiki/University_of_Konstanz
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Leipzig;https://en.wikipedia.org/wiki/University_of_Leipzig
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Lübeck;https://en.wikipedia.org/wiki/University_of_L%C3%BCbeck
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Leuphana University of Lüneburg;https://en.wikipedia.org/wiki/University_of_L%C3%BCneburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Magdeburg;https://en.wikipedia.org/wiki/University_of_Magdeburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Mainz;https://en.wikipedia.org/wiki/University_of_Mainz
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Mannheim;https://en.wikipedia.org/wiki/University_of_Mannheim
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;University of Marburg;https://en.wikipedia.org/wiki/University_of_Marburg
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Technical University of Munich;https://en.wikipedia.org/wiki/Technical_University_of_Munich
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Ludwig Maximilian University of Munich;https://en.wikipedia.org/wiki/Ludwig_Maximilian_University_of_Munich
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;Bundeswehr University Munich;https://en.wikipedia.org/wiki/Bundeswehr_University_Munich
Germany;https://en.wikipedia.org/wiki/List_of_universities_in_Germany;"Ukrainian Free University Munich (private university; awards PhD)";https://en.wikipedia.org/wiki/Ukrainian_Free_University
